method,query_id,polarity,run,wall_ms,exit_code,hit_count,raw_matches,agent_json,has_path_line,noise_hits,has_syntax,status,query_languages,rg_calls,budget_fields,kind_distribution
codefind_invalid_lang,invalid_lang_foobar,neg,1,2,2,0,0,1,0,0,0,invalid_request,,,0,{}
codefind_invalid_lang,invalid_lang_foobar,neg,2,1,2,0,0,1,0,0,0,invalid_request,,,0,{}
codefind_invalid_lang,invalid_lang_foobar,neg,3,1,2,0,0,1,0,0,0,invalid_request,,,0,{}
rg_single_naive,symbol_ClaimArenaReward,pos,1,5,0,27,,0,1,3,0,rg_match,,,0,{}
rg_single_naive,symbol_ClaimArenaReward,pos,2,4,0,27,,0,1,3,0,rg_match,,,0,{}
rg_single_naive,symbol_ClaimArenaReward,pos,3,4,0,27,,0,1,3,0,rg_match,,,0,{}
rg_single_scoped,symbol_ClaimArenaReward,pos,1,4,0,24,,0,1,0,0,rg_match,,,0,{}
rg_single_scoped,symbol_ClaimArenaReward,pos,2,4,0,24,,0,1,0,0,rg_match,,,0,{}
rg_single_scoped,symbol_ClaimArenaReward,pos,3,4,0,24,,0,1,0,0,rg_match,,,0,{}
codefind_default,symbol_ClaimArenaReward,pos,1,7,0,10,10,1,1,0,1,candidates_found,go,1,1,"{""source"": 1, ""consumer"": 1, ""protocol"": 4, ""config"": 2, ""docs"": 2}"
codefind_default,symbol_ClaimArenaReward,pos,2,6,0,10,10,1,1,0,1,candidates_found,go,1,1,"{""source"": 1, ""consumer"": 1, ""protocol"": 4, ""config"": 2, ""docs"": 2}"
codefind_default,symbol_ClaimArenaReward,pos,3,7,0,10,10,1,1,0,1,candidates_found,go,1,1,"{""source"": 1, ""consumer"": 1, ""protocol"": 4, ""config"": 2, ""docs"": 2}"
codefind_lang_lua_ts,symbol_ClaimArenaReward,pos,1,6,0,12,12,1,1,0,0,candidates_found,"lua,ts",1,1,"{""source"": 4, ""protocol"": 4, ""config"": 2, ""docs"": 2}"
codefind_lang_lua_ts,symbol_ClaimArenaReward,pos,2,6,0,12,12,1,1,0,0,candidates_found,"lua,ts",1,1,"{""source"": 4, ""protocol"": 4, ""config"": 2, ""docs"": 2}"
